userName,content,score,at,replyContent,date,time
Pengguna Google,tiap buka apk minta update mulu ya elah,2,2025-10-14 00:08:33,"Hai Rasyid, mohon maaf atas ketidaknyamanan yang Anda alami dengan aplikasi kami. Kami memahami rasa kekecewaan Anda dan ingin membantu lebih lanjut. Mohon hubungi kami di email email cs@traveloka.com untuk membantu kami menyelidiki masalah ini dan memastikan pengalaman yang lebih lancar di masa mendatang. Terima kasih. -NM",2025-10-14,00:08:33
Pengguna Google,bgus,5,2025-10-13 21:14:20,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-13,21:14:20
Pengguna Google,"secara umum pesan di agoda cukup menyenangkan,hanya kendala di refund tiket (jika perubahan rencana) sangat lama menunggu dana kembali. berbeda kalo pesan di aplikasi lain (warna biru awalan hurup T), proses refund 2x60 menit sudah masuk ke akun atau ke rekening dana refundnya",3,2025-10-13 17:00:19,"Hai Irvan, senang mendengar Anda menyukai aplikasi kami. Dukungan Anda sangat berharga bagi kami, dan kami berterima kasih Anda telah meluangkan waktu untuk berbagi pengalaman positif Anda. Jika Anda memiliki saran atau pertanyaan, jangan ragu untuk menghubungi kami. Terima kasih telah menjadi bagian dari komunitas kami! -VA",2025-10-13,17:00:19
Pengguna Google,bagus sekali,5,2025-10-13 16:53:33,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-13,16:53:33
Pengguna Google,mantap,5,2025-10-13 15:47:16,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-13,15:47:16
Pengguna Google,good,5,2025-10-13 15:13:50,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-13,15:13:50
Pengguna Google,good,5,2025-10-13 13:28:12,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-13,13:28:12
Pengguna Google,mudah cepat aman,5,2025-10-13 13:02:06,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-13,13:02:06
Pengguna Google,sangat puas,5,2025-10-13 12:11:32,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-13,12:11:32
Pengguna Google,good,5,2025-10-13 11:57:14,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-13,11:57:14
Pengguna Google,ok,5,2025-10-13 11:41:50,"Hey there! We are so grateful for your support. We hope you continue to enjoy our products and offers. If you have any additional feedback or suggestions, feel free to chat with our Customer Service by tapping the chat bubble icon at the top right of the Traveloka App homepage. Our team would be delighted to assist you. Thank you!",2025-10-13,11:41:50
Pengguna Google,oke,5,2025-10-13 08:30:38,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-13,08:30:38
Pengguna Google,baik,5,2025-10-13 07:30:45,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-13,07:30:45
Pengguna Google,mantap,5,2025-10-13 05:16:43,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-13,05:16:43
Pengguna Google,bagus,5,2025-10-13 04:17:51,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-10-13,04:17:51
Pengguna Google,bagus,5,2025-10-13 03:30:05,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-13,03:30:05
Pengguna Google,pelayanan baik,5,2025-10-13 03:18:47,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-10-13,03:18:47
Pengguna Google,mudah prosesnya dan harga juga lebih murah,5,2025-10-13 03:14:31,"Hai Kak, terima kasih atas feedbacknya. Jika Kakak memiliki saran, silakan sampaikan melalui fitur Message Center di kanan atas homepage Traveloka App agar kami dapat terus meningkatkan layanan kami. Pantau terus Traveloka untuk penawaran spesial lainnya!",2025-10-13,03:14:31
Pengguna Google,keren,5,2025-10-13 00:30:32,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-13,00:30:32
Pengguna Google,sangat mudah untuk di gunakan,5,2025-10-12 23:04:36,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-12,23:04:36
Pengguna Google,good,5,2025-10-12 17:08:16,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-12,17:08:16
Pengguna Google,sangat membantu dan mantap,5,2025-10-12 11:55:01,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-12,11:55:01
Pengguna Google,merugikan masyarakat tolong ini di blokir aplikasi nya,1,2025-10-12 10:50:36,"Hai Jackmay, mohon maaf atas ketidaknyamanannya. Mohon bantuan Anda untuk membagikan detail lebih lanjut tentang masalah ini dan jika memungkinkan, screenshot terkait melalui pesan aplikasi atau email cs@traveloka.com. Ini akan membantu kami mengambil tindakan yang tepat untuk meningkatkan pengalaman Anda. Terima kasih. -HM",2025-10-12,10:50:36
Pengguna Google,buruk,1,2025-10-12 10:32:57,,2025-10-12,10:32:57
Pengguna Google,great app,5,2025-10-12 10:09:16,"Hey there! We are so grateful for your support. We hope you continue to enjoy our products and offers. If you have any additional feedback or suggestions, feel free to chat with our Customer Service by tapping the chat bubble icon at the top right of the Traveloka App homepage. Our team would be delighted to assist you. Thank you!",2025-10-12,10:09:16
Pengguna Google,bagus dan terpercaya,5,2025-10-12 08:34:12,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-12,08:34:12
Pengguna Google,good,5,2025-10-12 07:36:22,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-12,07:36:22
Pengguna Google,mantabbb 👍bagusss,5,2025-10-12 06:59:27,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-12,06:59:27
Pengguna Google,baik,3,2025-10-12 06:21:13,,2025-10-12,06:21:13
Pengguna Google,sangat baik,5,2025-10-12 05:52:13,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-12,05:52:13
Pengguna Google,oke,5,2025-10-12 04:57:18,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-12,04:57:18
Pengguna Google,"Parah banget Limit tiba-tiba hilang dan level turun tingkat, sedangkan pembayaran sebelum jatuh tempo sudah di bayar, tolong di pertimbangkan",1,2025-10-12 04:42:42,"Hai Arif, kami mohon maaf atas ketidaknyamanan yang Anda alami. Mohon hubungi kami melalui email cs@paylater.co.id atau (021) 29103319 untuk pengecekan lebih lanjut. Tim kami berkomitmen penuh untuk membantu Anda. Terima kasih atas pengertian Anda. -NM",2025-10-12,04:42:42
Pengguna Google,ok,5,2025-10-12 04:31:08,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-12,04:31:08
Pengguna Google,tempat pesan tiket paling gampang dan murah,5,2025-10-12 04:24:32,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-10-12,04:24:32
Pengguna Google,josss,5,2025-10-12 04:12:00,"Thank you for your positive feedback! If you have any suggestions for improvement, please feel free to share them with us through the Message Center feature at the top right of the Traveloka App homepage. Do stay tuned for more interesting updates and offers from Traveloka!",2025-10-12,04:12:00
Pengguna Google,"Kecewa, Aneh tiba tiba Tpaylater bisa di blokir permanen tanpa kejelasan informasi",1,2025-10-12 03:47:25,"Hai Salomo, kami mohon maaf atas ketidaknyamanan yang Anda alami. Setelah kami cek, tampaknya masalah tersebut telah teratasi. Kami telah mengirimkan email untuk membahasnya lebih lanjut dan memastikan tidak ada kendala lagi paada nomor laporan 44****35. Terima kasih atas masukan Anda. Kami berharap dapat membantu Anda lebih lanjut. -TK",2025-10-12,03:47:25
Pengguna Google,"Buruk sekali.Ada limit paylater ,tidak pernah dipakai.Tiba2 tiba akun di blokir tidak bisa digunakan.",1,2025-10-12 03:44:43,"Hai Hendra, kami mohon maaf terkait masalah dengan TPayLater Anda. Jangan khawatir, saat ini tim kami sedang berupaya mengatasinya. Kami akan menyelesaikannya melalui nomor kasus 44XXXX76 dan mengabari Anda melalui email hingga masalah tersebut terselesaikan. Terima kasih atas kesabaran Anda. -AN",2025-10-12,03:44:43
Pengguna Google,baik,5,2025-10-12 03:32:42,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-10-12,03:32:42
Pengguna Google,ok,5,2025-10-12 03:23:41,"Hey there! We are so grateful for your support. We hope you continue to enjoy our products and offers. If you have any additional feedback or suggestions, feel free to chat with our Customer Service by tapping the chat bubble icon at the top right of the Traveloka App homepage. Our team would be delighted to assist you. Thank you!",2025-10-12,03:23:41
Pengguna Google,ok,5,2025-10-12 03:04:25,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-12,03:04:25
Pengguna Google,baik,5,2025-10-12 02:56:45,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-10-12,02:56:45
Pengguna Google,terbaik👍💯,4,2025-10-12 02:14:56,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-10-12,02:14:56
Pengguna Google,ok,4,2025-10-12 01:40:36,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-10-12,01:40:36
